Categorie;Veldnaam;Veldnaam_gebruiker;bench_ind-color;bench_ind-x;bench_ind-y;compare_ind-color;compare_ind-x;compare_ind-y_links;compare_ind-y_rechts;opmerking
Basis;INS_Faculteit;Faculteit;2;1;;2;1;;;
Basis;INS_Inschrijvingsjaar_EOI;Cohort;2;1;;2;1;;;
Basis;INS_Opleidingsfase_BPM;Fase;2;1;;2;1;;;
Basis;INS_Opleidingsnaam_2002;Opleidingsnaam;2;1;;2;1;;;
Basis;DEM_Geslacht;Geslacht;1;1;;1;1;;;
Basis;INS_Inschrijvingsjaar;Inschrijvingsjaar;2;1;;2;1;;;
Basis;DEM_Leeftijd_peildatum_1_oktober;Leeftijd;2;1;;2;1;;;
Basis;DEM_Nationaliteit_EER_naam;Herkomst ;2;1;;2;1;;;
Studie;INS_Dubbele_studie_VU;Dubbele studie op VU;2;2;;2;2;;;
Studie;INS_Opleidingsvorm_naam;Opleidingsvorm;2;2;;2;2;;;
Studie;INS_Hoofdneven;Hoofd / Neven (SIS);2;2;;2;2;;;
Studie;INS_Studiejaar;Jaar van studie;2;2;;2;2;;;
Studie;INS_Uitwonend;Uitwonend;2;2;;2;2;;;
Opleiding;OPL_Faculteit_BETA_cluster;Faculteit / Beta-cluster;3;3;;3;3;;;
Opleiding;OPL_Onderdeel_CROHO;CROHO Sector;3;3;;3;3;;;
Opleiding;OPL_Numerus_fixus_selectie;Numerus Fixus;3;3;;3;3;;;
Instroom;INS_Aansluiting_cat;Aansluiting;4;4;;4;4;;;
Instroom;INS_Direct;Directe Aansluiting;4;4;;4;4;;;
Instroom;INS_September_februari_instroom;Instroomoment;4;4;;4;4;;;
Instroom;INS_Tussenjaar;Tussenjaar;4;4;;4;4;;;
Instroom;INS_Vooropleiding_voor_HO_soort;Vooropleiding voor HO;;;;;;;;
Instroom;INS_Hoogste_vooropleiding_soort_cat;Vooropleiding voor HO;4;4;;4;4;;;
Cijfers voor HO;VOP_Examenjaar_reistijd_OV_VU;Reistijd VU - middelbare school;;;5;;;5;5;
Cijfers voor HO;VOP_School_gemiddelde_centraalexamen;Gem. cijfer centraal examen middelbare school;;;5;;;5;5;
Cijfers voor HO;VOP_School_gemiddelde_cijferlijst;Gem. cijfer cijferlijst middelbare school;;;5;;;5;5;
Cijfers voor HO;VOP_School_gemiddelde_schoolexamen;Gem. cijfer schoolexamen middelbare school;;;5;;;5;5;
Cijfers voor HO;VOP_Aantal_vakken;Aantal eindexamen vakken middelbare school;;;5;;;5;5;
Cijfers voor HO;VOP_Cijfer_engels;Cijfer Engels middelbare school;;;5;;;5;5;
Cijfers voor HO;VOP_Cijfer_nederlands;Cijfer Nederlands middelbare school;;;5;;;5;5;
Cijfers voor HO;VOP_Cijfer_gemiddeld;Cijfer Cijferlijst middelbare school;;;5;;;5;5;
Cijfers voor HO;VOP_Cijfer_wiskunde;Cijfer Wiskunde middelbare school;;;5;;;5;5;
Pre University College;PUC_Deelgenomen;Deelname Pre University College;5;5;;5;5;;;
Pre University College;PUC_Be_prepared;Deelname Be Prepared;5;5;;5;5;;;
Pre University College;PUC_Better_prepared;Deelname Better Prepared;5;5;;5;5;;;
Matchingsactiviteit;MAC_Matchingsactiviteit_deelgenomen;Deelname Matchingsactiviteit;6;6;;6;6;;;
Matchingsactiviteit;MAC_Matchingsactiviteit_resultaat;Resultaat Matchingsactiviteit;6;6;;6;6;;;
Taaltoets;TTS_Engels_totaal_cat;Taaltoets Engels categorie;7;7;;7;7;;;
Taaltoets;TTS_Engels_totaal_perc;Taaltoets Engels cijfer;;;6;;;6;6;
Taaltoets;TTS_Moedertaal;Moedertaal;7;7;;7;7;;;
Taaltoets;TTS_Moedertaal_nederlands;Moedertaal Nederlands;7;7;;7;7;;;
Taaltoets;TTS_Schooltaal;Schooltaal;7;7;;7;7;;;
Taaltoets;TTS_Totaal_cat;Taaltoets NL categorie;7;7;;7;7;;;
Taaltoets;TTS_Totaal_perc;Taaltoets NL cijfer;;;6;;;6;6;
Taaltoets;TTS_Tweede_moedertaal;Tweede moedertaal;7;7;;7;7;;;
Taaltoets;TTS_Tweede_schooltaal;Tweede schooltaal;7;7;;7;7;;;
Resultaten;RES_Aantal_EC_tm_jaar_1;Aantal EC jaar 1;;;1;;;1;1;
Resultaten;RES_Gem_resultaat_tm_jaar_1;Gem. resultaat jaar 1;;;1;;;1;1;
Resultaten;RES_Aantal_EC_tm_voltooid;Aantal EC studie;;;1;;;1;1;
Resultaten;RES_Gem_resultaat_tm_voltooid;Gem. resultaat studie;;;1;;;1;1;
Resultaten;RES_Aantal_herkansingen_tm_voltooid;Aantal herkansingen in studie;;;1;;;1;1;
BSA;BSA_Kwalitatieve_eis_behaald;BSA Kwalitatie eis behaald;;;2;;;2;2;
BSA;BSA_Status_omschrijving_eindejaars;BSA Status;;;2;;;2;2;
BSA;BSA_Status_omschrijving_tussentijds;BSA Tussentijdse status;;;2;;;2;2;
Honours;HNP_Honours_programma_begonnen;Deelname Honours;;;3;;;3;3;
Honours;HNP_Honours_programma_geslaagd;Voltooiing Honours;;;3;;;3;3;
Diploma / Uitval;INS_Cum_laude;Cum Laude;;;4;;;4;4;
Diploma / Uitval;INS_Diploma_aantekening;Diploma aantekening;;;4;;;4;4;
Diploma / Uitval;INS_Tijd_tot_diploma;Tijd tot diploma;;;4;;;4;4;
Diploma / Uitval;RES_Uitstel_afstuderen;Uitstel van afstuderen;8;8;4;8;8;4;4;
Diploma / Uitval;SUC_Diploma_aantal_jaar;Aantal jaar tot diploma;;;;;;;;
Diploma / Uitval;SUC_Diploma_nominaal;Diploma nominaal behaald;;;;;;;;
Diploma / Uitval;SUC_Diploma_aantal_jaar_cohorten;Aantal jaar tot diploma;;;4;;;4;4;
Diploma / Uitval;SUC_Diploma_nominaal_cohorten;Diploma nominaal;;;4;;;4;4;
Diploma / Uitval;SUC_Diploma_nominaal_plus1_cohorten;Diploma binnen nominaal plus 1 jaar;;;4;;;4;4;
Diploma / Uitval;SUC_Switch_binnen_vu_na_jaar_1_cohorten;Switch binnen VU na 1 jaar;;;4;;;4;4;
Diploma / Uitval;SUC_Uitval_na_jaar_1_cohorten;Uitval jaar 1;;;4;;;4;4;
Diploma / Uitval;SUC_Switch_binnen_vu_aantal_jaar;Switch binnen VU aantal jaar;8;8;4;8;8;4;4;
Diploma / Uitval;SUC_Switch_WO_aantal_jaar_cohorten;Switch WO aantal jaar;;;4;;;4;4;
Diploma / Uitval;SUC_Type_uitstroom;Type uitstroom;8;8;;8;8;;;
Diploma / Uitval;SUC_Type_uitstroom_studiejaar;Type uitstroom in studiejaar;;;4;;;4;4;
Diploma / Uitval;SUC_Uitval_aantal_jaar;Uitval na aantal jaar;;;4;;;4;4;
Diploma / Uitval;SUC_Uitval_na_jaar_1_herberekend;;;;;;;;;
Diploma / Uitval;SUC_Uitstel_afstuderen;;;;;;;;;
;;;;;;;;;;
Voor nu er buiten gelaten;INS_Doorstroom_van_bachelor_naar_master;;;;;;;;;
;INS_Doorstroom_van_premaster_naar_master;;;;;;;;;
;INS_Indicatie_actief_op_peildatum_status;;;;;;;;;
;INS_Tussenjaar;;;;;;;;;
;INS_Tussenjaar_binnen_opleiding;;;;;;;;;
;OPL_Nominale_studieduur;;;;;;;;;
;OPL_Studielast_nominaal;;;;;;;;;
;OPL_Numerus_fixus_perc_decentrale_selectie;;;;;;;;;
;OPL_Numerus_fixus_selectie_capaciteit_max;;;;;;;;;
;ORI_Orientatie_komt_voor;;;;;;;;;
;ORI_Orientatie_vooraf_brochure;;;;;;;;;
;ORI_Orientatie_vooraf_extensief;;;;;;;;;
;ORI_Orientatie_vooraf_extensief_eigen_opleiding;;;;;;;;;
;ORI_Orientatie_vooraf_intensief;;;;;;;;;
;ORI_Orientatie_vooraf_intensief_eigen_opleiding;;;;;;;;;
;ORI_Orientatie_vooraf_verschillend_totaal;;;;;;;;;
;ORI_Orientatie_vooraf_aangemeld;;;;;;;;;
;ORI_Orientatie_vooraf_aanwezig;;;;;;;;;
;MVR_Ingeschreven_voor_hoogste_interesse;;;;;;;;;
;MVR_Matchingsvragenlijst_ingevuld;;;;;;;;;
;MVR_Matchingsvragenlijst_vrijstelling;;;;;;;;;
;MVR_OBK_Vertrouwen_studiesucces;;;;;;;;;
;MVR_AV_Proactief_studeergedrag;;;;;;;;;
;MVR_Studiesituatie_Uur_per_week_studie;;;;;;;;;
;MVR_Studiesituatie_Uur_per_week_nevenactiviteiten;;;;;;;;;
;MVR_Studiesituatie_Uur_per_week_werk;;;;;;;;;
;PMA_Deelname;;;;;;;;;
;PMA_Algemeen_capaciteitenniveau_score;;;;;;;;;
;PMA_Voltooid;;;;;;;;;
;INS_Opleidingscode_actueel;;;;;;;;;
;TTS_Engels_begrijpend_lezen_cat;;;;;;;;;
;TTS_Engels_begrijpend_lezen_perc;;;;;;;;;
;TTS_Engels_grammatica_cat;;;;;;;;;
;TTS_Engels_grammatica_perc;;;;;;;;;
;TTS_Engels_klaslokaal_engels_cat;;;;;;;;;
;TTS_Engels_klaslokaal_engels_perc;;;;;;;;;
;TTS_Engels_register_cat;;;;;;;;;
;TTS_Engels_register_perc;;;;;;;;;
;TTS_Engels_spelling_en_interpunctie_cat;;;;;;;;;
;TTS_Engels_spelling_en_interpunctie_perc;;;;;;;;;
;TTS_Engels_Structuur_cat;;;;;;;;;
;TTS_Engels_Structuur_perc;;;;;;;;;
;TTS_Engels_uitspraak_cat;;;;;;;;;
;TTS_Engels_uitspraak_perc;;;;;;;;;
;TTS_Engels_woordenschat_en_woordkeuze_cat;;;;;;;;;
;TTS_Engels_woordenschat_en_woordkeuze_perc;;;;;;;;;
;TTS_Formuleren_cat;;;;;;;;;
;TTS_Formuleren_perc;;;;;;;;;
;TTS_Grammatica_cat;;;;;;;;;
;TTS_Grammatica_perc;;;;;;;;;
;TTS_Jaar;;;;;;;;;
;TTS_Spelling_en_interpunctie_cat;;;;;;;;;
;TTS_Spelling_en_interpunctie_perc;;;;;;;;;
;TTS_Structuur_cat;;;;;;;;;
;TTS_Structuur_perc;;;;;;;;;
;TTS_Woordenschat_en_woordkeuze_cat;;;;;;;;;
;TTS_Woordenschat_en_woordkeuze_perc;;;;;;;;;
;HNP_Honours_programma_actief;;;;;;;;;
;HNP_Honours_programma_gestaakt;;;;;;;;;
